번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
12574971,사주쟁이 치고 성도착 없는 인간 드문듯,ㅇㅇ(175.223),2019-12-28,45.0,3.0,https://gall.dcinside.com/board/view/?id=divination&no=12574971&search_pos=-12535549&s_type=search_subject_memo&s_keyword=사주&page=2,"능력없어 여자 못 민나다가
사주 배워서 따먹고 다닐려고 사주 배움",,,,,,
12786713,이사주 용신이 뭐임??,ㅇㅇ(116.124),2020-01-20,33.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12786713&search_pos=-12755549&s_type=search_subject_memo&s_keyword=사주&page=26,,,,,,,
12687331,파손시에 책임회피한다는 여자인데 사주좀봐줘,ㅇㅇ(223.38),2020-01-09,82.0,4.0,https://gall.dcinside.com/board/view/?id=divination&no=12687331&search_pos=-12655549&s_type=search_subject_memo&s_keyword=사주&page=16,"내 의사랑 상관없이 물건 빌려주고 파손후에 나몰라라하는데
평소에도 자꾸 구술려서 어렵게 말 꺼내면며칠뒤에 얘기 다 소문나서 곤란했던적이 있어 다른사람들이 그렇게 말 전하면 안 된다
얘기해도 당사자가 직접해야한다고 남들이 말해줘도
난 좋은의도로 한거고 할만해서 한거다 끼지마라 이런식이야...날 생각해주는건 고마운데 방식이 자기가 겪었어도 좋아할까 의문이고 이번일도
말로 떼우고 자기가 남들 잘 빌려줘서 이렇게까지 생각할줄 몰랐다고 빌려준 여자 연락처등 다 피하고있어
이언니 고민상담 반나절이고 하루가멀다하고 몇시간씩 다 들어주고 착해서 좋아했는데
날 존중했으면 이렇게 행동 안했겠지 ?
엉터리이유로 굳이 내 옷 그것도 아끼는걸 잠깐 두고간사이에
특정해서 빌려준건 그옷이 그냥 망가지라는거잖아... ㅋㅋ
자기꺼 남 빌려주는거랑남의꺼 허락 없이 빌려준게 전혀 다른상황이지... ;; 설명해줘도 이해를 못 하고있어 그 언니
그래서 너무 속상해서 사주 보고 좀 이상하다싶으면 정리하게 그언니도 이쪽 관심있어하는데 생시는 말 안해줘서 91.01.30년생이야",,,,,,
3203845,나 아빠복 있는거 사주에 나와?,대홍단맷퇘지(180.228),2022-12-08,89.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3203845&search_pos=-3190386&s_type=search_subject_memo&s_keyword=사주&page=8,ㅇㅇ,,,,,,
8876664,사주 공부하면 여자 꼬시긴 진짜 쉬움,역갤러(223.38),2025-05-17,128.0,2.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8876664&search_pos=-8830386&s_type=search_subject_memo&s_keyword=사주&page=19,소개팅 어플 같은 데에다가 사주 봐준다고 하면 여자들 존나 연락함. 그 후에 친해지면 90프로 이상 야스로 끝남.,,,,,,
8626102,사주좀 봐줘라,메피스토펠라스,2025-04-02,39.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8626102&search_pos=-8580386&s_type=search_subject_memo&s_keyword=사주&page=15,"씨발 20살 남자다
- dc official App",,,,,,
11341268,나 사주에 불이 없는데 불 싫어,ㅇㅇ(118.218),2019-08-10,286.0,3.0,https://gall.dcinside.com/board/view/?id=divination&no=11341268&search_pos=-11305549&s_type=search_subject_memo&s_keyword=사주&page=6,"불 진짜 무서워함 그래서 요리도 안 해
화일간이나 화다자들도 나한테 무서운 느낌이 강했음
사주에 화 없고 목이나 금 강한 사람이 편해",,,,,,
10624617,여기참 신기함,을휴면(211.194),2019-05-10,31.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=10624617&search_pos=-10595549&s_type=search_subject_memo&s_keyword=사주&page=17,보통 다른데는 성향이 한쪽으로 쏠리는데 여기는 베충이와 메갈 그리고 사주도사들 별 사람들이 다 공존하는 곳 ㅋㅋ 심지어 대통령 찬양하는 사림도 있고 ㅋ,,,,,,
863334,념글 사주 좋아도 ㅂㅅ같이 살고 있다는 애,ㅇㅇ(223.39),2021-12-29,103.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=863334&search_pos=-860386&s_type=search_subject_memo&s_keyword=사주&page=5,"초년 용신 아니야?
목이 가장 좋긴 하지만 간여지동 화, 건토운이라서 좋아보임
- dc official App",,,,,,
5556868,나 진짜 직장복 없는데 사주한번 봐줘,역갤러(121.175),2024-01-04,204.0,4.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5556868&search_pos=-5530386&s_type=search_subject_memo&s_keyword=사주&page=14,"이때까지 3번의 이직을 했는데 한사람씩 그것도 꼭 가장 가까이 일하게 되는 사람이랑 잘 안맞거나 그냥 약간 뽑기 잘못 걸린거처럼 이상핰 사람들하고만 가깝게 엮어짐
동료복만 없는건 아니고 직장복 자체가 없는가봐
좀더 괜찮은 조건으로 이직할려함 다 잘되다 마지막에서 걸림돌생김
뭔가 좀 내가 잘못하고 있는건지 알고싶은데
사주에 직장복 보는건 몰라서 도와주라",,,,,,
4178915,난 여기도 올필요없어요 소이치던 뭐던,강남업진(61.255),2023-05-13,52.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4178915&search_pos=-4160386&s_type=search_subject_memo&s_keyword=사주&page=11,"사주던 역갤이던 내가 그딴거 알던 모르던
여기서 내얘기가 있는지도 없는지도 관심조차 없어야 할
11월1일로 시간을 돌릴꺼라서
그리고 매일오던사람도아니엿음요",,,,,,
9072475,챗지피티에 자세히 물어보니 관인상생이래,ㅇㅇ(106.101),2025-06-18,64.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9072475&search_pos=-9019955&s_type=search_subject_memo&s_keyword=지피티&page=1,"근데 포용력 그닥안필요함
ㅜㅜ
- dc official App",,,,,,
10195260,내사주 너무 엄마그늘에서삶,쁘라운(220.90),2019-03-10,97.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10195260&search_pos=-10165549&s_type=search_subject_memo&s_keyword=사주&page=11,ㅜ엄마란존재가넘 피곤해,,,,,,
5489151,지금 우리 세대는 늙어서 정말 힘들게 살것 같다,ㅇㅇ(223.62),2023-12-25,79.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5489151&search_pos=-5460386&s_type=search_subject_memo&s_keyword=사주&page=6,"세금으로 많이 뜯기고
국민연금 강제로 내고 있는데
나중에 받을수 있을지도 모르겠고
국민연금 받기전에 죽을수도 있고
건강보험도 파탄 난다고하고
수십년 지나면 일자리도 줄어 들어서
일할곳도 없고
한국인은 노인 빈곤율도 높다는데
뭐해 먹고 살아야함?
너희들 사주에 말년은 괜찮은 운이라고 나옴???
말년에 괜찮게 살것같음?",,,,,,
10868569,내가마지막에 사주밧던 부처님귀관상 할아버지 사주ㅈㄴ잘봄ㅇㅇ,꼬부기(223.33),2019-06-14,195.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=10868569&search_pos=-10835549&s_type=search_subject_memo&s_keyword=사주&page=10,"나보구연애가왜케잘안되냐면서ㅡㅡㅠ그래도 시집늦게가면
남편복잇고 ㅇㅇ  34부터 돈걱정안한다는데
내성격단점 다 맟춤 ㅜㅜ",,,,,,
12560863,거의 정확한 남녀 결혼확률 조합,ㅇㅇ(175.223),2019-12-26,5557.0,44.0,https://gall.dcinside.com/board/view/?id=divination&no=12560863&search_pos=-12525549&s_type=search_subject_memo&s_keyword=사주&page=13,"관인상생녀 - 신강 식상생재남                                     인비다녀 - 신약 식상생재 재다신약
무관 식재녀 - 신약 관인상생남
유관 식재녀 - 신강 관인상생남
무관 식다녀 - 신약 관다남
유관 식다녀 - 신강 관다남
인다녀 - 신약 식다남
신약 관다녀 - 비다남
신강 관다녀 - 신왕재왕
신강 식다녀 - 재관남
재다녀 - 인다남
십성원리로 조합해서 사주적으로 맞춰봤는데
실제로도 부부들 많이 맞음",,,,,,
7154929,나 사주만 봤을때 mbti뭐같음?,역갤러(211.182),2024-08-29,82.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7154929&search_pos=-7120386&s_type=search_subject_memo&s_keyword=사주&page=14,"맞춰보셈
- dc official App",,,,,,
2959267,인비기신인데 첨앤 착한척 많이 하는대 동성이나 아줌마가,ㅇㅇ(223.62),2022-11-04,351.0,13.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2959267&search_pos=-2950386&s_type=search_subject_memo&s_keyword=사주&page=18,"만만하게 봄
저러는 이유가원래 점보면 나 천상남자 사주라는데
외모는 상여자임
음기쎄고 음간이고
성격숨기고 착한척 하고 여자들 특유의 미주알고주알
쓸모없는 얘기 하는거랑 안맞아서
여자들이랑 잘 대화하는게 힘듬
그래서 피로감느껴서 멀리하면 돌려까기 대상됨
애초에 선긋고 사는게 좋어",,,,,,
3505758,106.102는 개소리를 하고있음. 115.90한테 왜 지랄이니?,저승사자,2023-01-22,30.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3505758&search_pos=-3490386&s_type=search_subject_memo&s_keyword=사주&page=15,"역학갤러리에서 고닉 휴ㅅ휴 짝사랑 중임♡ 휴ㅅ휴가 먼저 겨울생 같다고 꼬리쳤음♡ 남미새임♡ 커플 성사되서 역학갤러리 탈갤하는게 목적임♡ 소개팅 받고 싶어함♡ 썸타고 연애하고 결혼하고 싶어함♡ 애도 잘 돌봄♡ 동물도 잘 돌봄♡ 사람 못 괴롭히니 동물 괴롭히는것들 싫어함♡ 사주팔자 없음♡ 지문도 없음♡ 악플러 싫어함♡ ※ 남자들하고 사이회복 불가능 ※ ♡ 친오빠 전화번호 삭제함♡ 친오빠 고소 또는 접근금지명령 할 예정♡ 기독교 안믿음♡ 선 넘는 사람 극혐
- 저승사자 여자임♡ 을미공주 아님♡ 모헤 아님♡ 뿍구 아님♡ 김소미 아님♡ 우지은 아님♡ 듈늬 아님♡ 사랑꾼임♡ 일본 좋아함♡ 오타쿠♡ 플라토닉 러브♡ 직업 없음♡ 히키코모리임♡ 밖에 안나간지 5년 넘음♡ 밥 적게 먹음♡ 요리 못함♡ 자매 없음♡ 친구 0명♡ 지인 0명♡ 조현병 아님♡ 연기자 아님♡ 서울 안살음♡ 화류계 아님♡ 세무조사 가능♡ 바람핀적 없음♡ 상간녀 아님♡ 간호사 아님♡ 간호조무사 아님♡ 의사 안좋아함♡ 간호계열 직업 준비 안함♡ 판사 검사 변호사 좋아함♡ 썸남 없음♡ 남친 없음♡ 남편 없음♡ 자식 없음♡ 시어머니 없음♡ 시아버지 없음♡ 동거한적 없음♡ 임신한적 없음♡ 결혼한적 없음♡ 오징어지킴이들 저승사자한테 접근금지♡ 니 오징어 관심없음♡ 키크고 돈많은 잘생긴 남자 좋아함♡ 오픈카 1억이상 불가리 비제로원 에프터눈티 오마카세 사주는 남자 좋아함♡ 2023년 1월 20일 기준♡",,,,,,
13445379,근데 사주 쎈 사람들이 얼굴은 순하게 생김,ㅇㅇ(211.36),2020-04-09,248.0,3.0,https://gall.dcinside.com/board/view/?id=divination&no=13445379&search_pos=-13405549&s_type=search_subject_memo&s_keyword=사주&page=5,성질 드러븐 사주는 착하게 생김 ㅇ,,,,,,
14742991,힘들땐 사주 의존했는데 이젠뭐,ㅇㅇ(121.171),2020-09-20,30.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=14742991&search_pos=-14705549&s_type=search_subject_memo&s_keyword=사주&page=11,"상관이없다 사람 참 간사해
- dc official App",,,,,,
9018277,얼굴삐딱한 한남 성훈이 사주도 빻았더라,역갤러(117.111),2025-06-09,43.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9018277&search_pos=-8970386&s_type=search_subject_memo&s_keyword=사주&page=12,너 다중이짓하명 모를줄 알았징? ㅋ,,,,,,
2704207,"문재인 보면 ㄹㅇ 사주, 관상은 있는듯",ㅇㅇ(106.254),2022-09-22,549.0,12.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2704207&search_pos=-2690386&s_type=search_subject_memo&s_keyword=사주&page=2,"시주는 몰라도 무관 삼주인데
2016년부터 정관 대운 간여지동으로 터지자 마자 모든게 바뀜
ㄹㅇ 천지개벽 수준으로
당선 당시에 2012년보다 5년 더 늙었는데도 인상은 더 좋아짐;;
물론 지금은 얼굴이 또 바뀌긴 했는데
2012년 2017년 사이에 일어난 변화는 ㄹㅇ 드라마틱함",,,,,,
13781531,남편 사주에 재뜰때마다 섹스하자고함,ㅇㅇ(116.47),2020-05-20,164.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13781531&search_pos=-13745549&s_type=search_subject_memo&s_keyword=사주&page=11,"결혼 4년찬데 원래 4-5일에 한번씩 하거든 정해논건아닌데
남편 섹스루틴보면 그정도되는거같은데 ㅋㅋ
일진이 남편사주에 재인 오행이 쎄게 연달아 들어오면 2-3일 연속으로 계속하자고하고 월운도 그러함",,,,,,
7742227,사주좀 봐주라,ㅇㅇ(14.50),2024-11-26,61.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7742227&search_pos=-7700386&s_type=search_subject_memo&s_keyword=사주&page=6,어때? 연애라던가 직업 돈이라던가 이런쪽으로,,,,,,
5423270,내 사주어떰,역갤러(61.80),2023-12-15,98.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5423270&search_pos=-5400386&s_type=search_subject_memo&s_keyword=사주&page=18,여자고 직업 임상병리사임 괜찮은사준가,,,,,,
16843537,나 질문 내일 많이 할 예정인데 사주봐주세요,요술양탄자,2021-07-04,31.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=16843537&search_pos=-16795549&s_type=search_subject_memo&s_keyword=사주&page=9,"직장에서 질문많이해서 왕따당할 확률 몇퍼인지 사주봐줘
여자입니다 ㅠㅠㅠㅠㅠ",,,,,,
3099858,궁합 바바,ㅇㅇ(118.38),2022-11-24,102.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3099858&search_pos=-3089934&s_type=search_subject_memo&s_keyword=궁합&page=2,병오녀 병자남인데 ㅇㅇ 오래갈려나,,,,,,
8983049,근데 쟤사주가 여려서 그럼 감성좌파될수빆에 없는 구조 ㅋㅋㅋㅋ,사뿐이,2025-06-04,43.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8983049&search_pos=-8930386&s_type=search_subject_memo&s_keyword=사주&page=2,"불쌍함
- dc official App",,,,,,
11534056,네이버 역학사랑방 카페 존나 웃긴점,ㅇㅇ(218.152),2019-08-31,1117.0,16.0,https://gall.dcinside.com/board/view/?id=divination&no=11534056&search_pos=-11505549&s_type=search_subject_memo&s_keyword=사주&page=18,"남자가 사주명식 올려서 뭐 물어보면 잘 안알려줌.
반면에 여자가 사주 올려서 뭐 물어보면 존나 댓글로
자세하게 알려줌. 근데 사주 해석은 재각기 다 틀림 ㅋㅋ
병신 돌팔이새끼들 ㅋㅋ",,,,,,
13023458,제발 사주 좀 봐줘,ㅇㅇ(112.72),2020-02-20,34.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13023458&search_pos=-12985549&s_type=search_subject_memo&s_keyword=사주&page=5,제발요 선생님들,,,,,,
8569273,조카 사주 봐주십시오,ㅇㅇ(211.36),2025-03-24,36.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8569273&search_pos=-8520386&s_type=search_subject_memo&s_keyword=사주&page=6,괜찮습니까?,,,,,,
2537073,추운 사주에 대운도 추워서,ㅇㅇ(117.111),2022-08-28,103.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2537073&search_pos=-2530386&s_type=search_subject_memo&s_keyword=사주&page=16,너무 슬픔...,,,,,,
14338428,나랑 성격 잘 맞는 비겁다 언니 사주 ...,ㅇㅇ(118.221),2020-07-30,201.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=14338428&search_pos=-14295549&s_type=search_subject_memo&s_keyword=사주&page=1,"이쁘게 생김
약간 피부가 까만데도 서양인처럼 이쁜 느낌 있잖음",,,,,,
16855734,누가 사주보여주고가라고 올렸길래 한 번 올려봄,주절주절(14.39),2021-07-06,98.0,3.0,https://gall.dcinside.com/board/view/?id=divination&no=16855734&search_pos=-16805549&s_type=search_subject_memo&s_keyword=사주&page=8,내 사주 올리는 일도 다 있네 ㅋㅋ,,,,,,
13486138,"님들 형,충 있다고 뒤지는거 아님 ㅋㅋ",식다무재인사람(61.110),2020-04-14,111.0,4.0,https://gall.dcinside.com/board/view/?id=divination&no=13486138&search_pos=-13445549&s_type=search_subject_memo&s_keyword=사주&page=2,"뒤졌으면 이새끼 벌써 뒤지고 노숙했어야함 ㅋㅋㅋㅋㅋㅋ
사주말고 거울을 믿어 ㅋㅋ",,,,,,
13858758,내가 극 하고 극 당할 때,욕하디망(175.118),2020-05-30,2445.0,21.0,https://gall.dcinside.com/board/view/?id=divination&no=13858758&search_pos=-13825549&s_type=search_subject_memo&s_keyword=사주&page=16,"사주 오행 보면(일간 기준으로 할게!)
수극화
화극금
금극목
목극토
토극수
이렇게 극하잖아
첨엔 극 당하는 쪽이 좀 힘들어하고 쩔쩔매고 심히 좋아한다거나 부담스러워한다거나 해서 좀 ‘진다’ 는 느낌인데
극을 당하고 당하고 당하다가 질려버려서 버리고 떠나거나 아니면 반대로
극 당할거 다 당해주고 견뎌주고 참아주다가 그 참을성으로 본인이 성장해버려서 나중엔 극할 수도 없게 커버려서 그냥 자기갈길 묵묵히 감
그러면 극하는쪽이 어..? 어라..? 다루기 쉬운 애였는데 뭐지..? 하면서 더 날뛰면서 극하려함 그땐 이미 늦음
예를들어서
화 일간이 수 일간 만나면 그 화기(자신감)이 조금 잦아지잖아
근데 그렇게 극 당하는거 무던히 버티면서 꾸준히 불태우면
나중엔 화 일간이 수 일간 있어도 개의치않고 그냥 자기꺼 잘만 활활태움 수일간이 그거 못 꺼트려
괜히 쟤 또 까분다 하고 꺼트리려다가 오히려 수일간이 끓어버림 라면물 끓듯이
모든일간 다 이런식이야
아무튼 내가 하고싶은 말은 극한다고 무작정 만만하게 보고 좋아할거 없도 극 당한다고 무조건 지고 힘들고 그런거 없음
쳐눌려가면서도 정신바짝차려서 좋은거 쏙쏙 빼먹고 성장 조금씩 하고 나중에 좀 커져버리면 극 당할때도 아이고 또 시작이다 하면서 맞춰주게돼 왜냐면 그 맞춰주는이유가 결국 극 당하면서도 내가 얻는게 있고 쏠쏠하기때문 ㅎㅎ
세상살다가 누구때문에 뭐때문에 본인이 힘들고 쩔쩔 매게되고 힘들다 싶으면
일단 좀 지켜봐
내가 이 눌림속에서 뭘 얻을 수 있을까 뭘 뽑아낼 수 있을까
결국 극 당하는게 내 형태가 변한다는거고
그 변화가 나를 개열받게해서 망나니 만들 수도 있고 반대로 개 사기캐로 거듭날 수도 있음 이것도 개인편차 심함(마음, 상황, 대상과의관계)
여튼 내가 하고싶은 말은 절대적인 건 없어
아 진짜 세상 ㅈ같다 세상이 나를 상대로 ㅈㄴ 극한다
싶을 때 분명히 나도 세상을 상대로 뽑아먹을게 있고 내가 사기캐 될 수 있는 기회가 곳곳에 있어
그리고 그 분노와 악에받친 시간들이 농도가 짙을 수록 더 높은 강도로 변화하겠지
그 변화의 갈래는 어떻게될지는 시간만이 아는거고",,,,,,
15777239,신축년에 인연만나는 사주 왜이렇게 많음..?,ㅇㅇ(223.39),2021-02-04,723.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=15777239&search_pos=-15735549&s_type=search_subject_memo&s_keyword=사주&page=12,지금 주변 임상 보는데 다들 신축년에 여자 만남,,,,,,
7614986,을모기아니랄까봐 을목남 사주봐달라,역갤러(211.47),2024-11-04,129.0,4.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7614986&search_pos=-7580386&s_type=search_subject_memo&s_keyword=사주&page=26,"징징징 오지네 여기에 뭐 통변맡겨놨냐 음간남들중 젤 질긴듯 역시 남자는 통크고 시원시원한 양간이다 양간남은 저렇게 악다구안쓰고 쿨하게 걍 밖에서 돈내고볼텐데
- dc official App",,,,,,
13117153,남 사주 분석할 시간에 니 결혼할 궁리나해 ㅋㅋㅋ,ㅇㅇ(223.62),2020-03-02,34.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=13117153&search_pos=-13085549&s_type=search_subject_memo&s_keyword=사주&page=15,리얼 상장폐지나이 되면 어쩌려고ㅋㅋㅋ,,,,,,
3500240,근데 1명리가 박타로,ㅇㅇ(174.202),2023-01-22,37.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3500240&search_pos=-3482492&s_type=search_subject_memo&s_keyword=타로&page=1,스승이라고 박타로가 옛날부터 그랬잔아 박씨도 속은거임? 귀챠나서 눈팅안한지오래,,,,,,
1636413,나 사주 인기없는 노처녀 사주m,흑흑(124.50),2022-04-17,87.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1636413&search_pos=-1630386&s_type=search_subject_memo&s_keyword=사주&page=8,Tttt,,,,,,
4492881,저 사주좀 봐주세요,딕토인자,2023-07-02,50.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4492881&search_pos=-4470386&s_type=search_subject_memo&s_keyword=사주&page=6,"부탁드립니다
- dc official App",,,,,,
8850647,사주봐주세요,ㅇㅇ,2025-05-12,81.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8850647&search_pos=-8800386&s_type=search_subject_memo&s_keyword=사주&page=9,,,,,,,
15014807,전생에 큰 전투나 전쟁에서 공적 (대량 살상)을 쌓은 사람은,경인을해,2020-10-27,191.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=15014807&search_pos=-14975549&s_type=search_subject_memo&s_keyword=사주&page=14,"반드시 어떤 형태로든 그 카르마를 갚어야 되는 시기가 있다
예를 들어 사주 명식을 까봤을때 칠살이 있는 명조
늦게 대가를 치를 수록 그 파급력은 이자까지 치러야 해서
차라리 일찍 떼우는 게 나을수가 있음
- dc official App",,,,,,
4336805,쟁재사주인지 봐줄수있어?,ㅇㄹ(118.235),2023-06-07,124.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4336805&search_pos=-4320386&s_type=search_subject_memo&s_keyword=사주&page=15,"남친 사주인데, 쟁재 맞을까??",,,,,,
1771102,나 사주 보면 연애고자 느낌 안나뉴,낭아(124.50),2022-05-08,46.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1771102&search_pos=-1770386&s_type=search_subject_memo&s_keyword=사주&page=15,ㅇㄴ,,,,,,
8981125,직업이 고민인데 제 사주풀이 해주실 분 계신가요?,Djjwne,2025-06-03,51.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8981125&search_pos=-8930386&s_type=search_subject_memo&s_keyword=사주&page=6,"기획이나 마케팅, 프리랜서가 적합한 사주인가요?
- dc official App",,,,,,
14088616,사주보면 왜 자 기생사주래,ㅇㅇ(175.204),2020-06-29,204.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=14088616&search_pos=-14055549&s_type=search_subject_memo&s_keyword=사주&page=26,"양준일도 기생사주래
- dc official App",,,,,,
3219944,사주 어 땡 ??,ㅇㅇ(118.235),2022-12-10,28.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3219944&search_pos=-3210386&s_type=search_subject_memo&s_keyword=사주&page=12,"내년
대운
바뀌는
거
궁금
ㅠㅡㅠ
- dc official App",,,,,,
6024811,취집사주에 비추 누르는 이유가뭐임,역갤러(211.234),2024-03-17,82.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6024811&search_pos=-5990386&s_type=search_subject_memo&s_keyword=사주&page=1,배알꼴리누,,,,,,
5183757,일지 신금들아 일지동궁합 어땠음?,역갤러(61.251),2023-11-05,458.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5183757&search_pos=-5159934&s_type=search_subject_memo&s_keyword=궁합&page=2,ㅇㅇㅇ?,,,,,,
10857261,이런 술사들 걸러,ㅇㅇ(222.98),2019-06-12,68.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10857261&search_pos=-10825549&s_type=search_subject_memo&s_keyword=사주&page=14,"사주도 걸러서 들어야해
전체 흐름 세운이나 대운으로
안좋거나 불리할 수는 있지만
남편복 아내복 이런게 안좋다
라고 걍 좋다 안좋다로 가르는 술사들 무조건 걸러
술사자격이 없고 그냥 사주 아는 척 하면서
내담자한테 지가 알고있는 걸로 까내리려는 거임
사주는 잘 살고 싶어서 보는 건데 조언을 해줘야지
모두 약점은 있는 건데...",,,,,,
5823913,이강인 사건으로 사주 '상관격' 대두되,역갤러(125.142),2024-02-15,426.0,16.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5823913&search_pos=-5800386&s_type=search_subject_memo&s_keyword=사주&page=19,"상관격이란
'언제나 불만을 갖고 있는 반사회적 성향'
'대상을 가리지 않고 분노 표출'
'사람에 따라 표출 방법 다르지만 주로 윗사람에 불손한 경향'
'인격 장애 및 강력 범죄자 사주에 쉽게 보여'
이런 날이 오길 바라본다",,,,,,
17145405,솔직히 사주 허자가뭐니하면서 유리한대로 끼워맞추기보다,신축녀,2021-08-11,93.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=17145405&search_pos=-17095549&s_type=search_subject_memo&s_keyword=사주&page=16,간단하게 보는게 사실젤잘맞는것같기돟ㆍ고,,,,,,
1639159,허자 = 사주구린애들이 만들어낸 허상,ㅇㅇ(116.212),2022-04-17,64.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1639159&search_pos=-1630386&s_type=search_subject_memo&s_keyword=사주&page=2,판타지 OF 판타지,,,,,,
3185714,내가 울애미애비 닮은구석 하나없고,ㅇㅇ(106.101),2022-12-06,42.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3185714&search_pos=-3170386&s_type=search_subject_memo&s_keyword=사주&page=6,"맨날 방구석에 들어앉아서
사주보고 사주딸치고
사주 좋은 애들 질투하고
욕하고 주작글쓰고 그러거든
사회생활 일절 안하고 ….
이런 이론에 심취하는 것도
아마 애미애비 돌연변이 유전자
폐급 유전자만 물려받앗거나
본문처럼 애미 전남친 유전자를 받았거나",,,,,,
8485135,조카 사주 봐주라,ㅇㅇ(106.102),2025-03-11,121.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8485135&search_pos=-8440386&s_type=search_subject_memo&s_keyword=사주&page=12,금수상관 희견관 맞니,,,,,,
5238510,난 중화 사주라서 인내할 만큼은 다 인내하고,ㅇㅇ(119.197),2023-11-14,109.0,4.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5238510&search_pos=-5210386&s_type=search_subject_memo&s_keyword=사주&page=4,"자기 멋으로 살지도 못하고
끝까지 밀고나갈 집념도 약하고
남을 이끌지도 못해
남의 인정에 목매지도 않고
남을 크게 존중하는 척도 안함..
대세도 찍먹 해보고 따라갈 생각을 할 뿐이고
자아비대도 안 되고
관계의존성도 안 생기고
회색분자처럼 살고 있음",,,,,,
13707063,내가 혼자 살아가려는 이유도,ㅇㅇ(210.178),2020-05-12,43.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13707063&search_pos=-13665549&s_type=search_subject_memo&s_keyword=사주&page=1,재관이 다 ㅎㅌㅊ 재관이어서 그런 이유도 있지만 사주내 충이 많다보니 불필요한 갈등을 빚음 거기에 내 비겁들이 희생당하지 않았으면 해서 비겁 만큼은 때 묻지 않은 채로 남았으면 싶음 그게 내가 내 비겁들한테 할 수 있는 마지막 친절인거 같음 그냥 그걸 막연히 느꼈다 최근에 ㅇㅇ,,,,,,
